,id,proper,ra,dec,spect,hip,hd,hr,gl,bf,con,mag,dist,lum,rasc,dist_ly
329,46518,,9.511674,-40.466769,F2IV,46651,82434,3786,Gl 351A,Psi Vel,Vel,3.6,18.8147,11.18922482,142.67511,61.36527293
330,6523,,1.40039,-8.183257,K0III,6537,8512,402,,45The Cet,Cet,3.6,34.8918,38.51234824,21.00585,113.8016992
331,76235,,15.61707,-28.135079,K3III,76470,139063,5794,,39Ups Lib,Lib,3.6,68.5871,148.730487,234.25605,223.7009419
332,49700,,10.176467,-12.354083,K0III,49841,88284,3994,,41Lam Hya,Hya,3.61,34.5066,37.32501578,152.647005,112.5453463
333,13176,,2.833063,27.260507,B8Vn,13209,17573,838,,41    Ari,Ari,3.61,50.7872,80.83510374,42.495945,165.6455
334,63411,,13.037759,-71.548855,K2III,63613,112985,4923,,Del Mus,Mus,3.61,27.8707,24.34445184,195.566385,90.90196029
335,15861,,3.413554,9.02887,G8III,15900,21120,1030,,1Omi Tau,Tau,3.61,89.2061,249.3446188,51.20331,290.9510475
336,86661,,17.762221,-64.723871,K1III,86929,160635,6582,,Eta Pav,Pav,3.61,107.9914,365.4264678,266.433315,352.2204306
337,37711,,7.754249,-37.968584,K4III,37819,63032,3017,,,Pup,3.62,347.2222,3742.829122,116.313735,1132.486039
338,113366,,23.032017,42.325979,B6pv SB,113726,217675,8762,,1Omi And,And,3.62,210.5263,1376.575387,345.480255,686.644159
339,17805,,3.819373,24.053415,B8III,17847,23850,1178,,27    Tau,Tau,3.62,117.2333,426.5795188,57.290595,382.3634419
340,82477,,16.909731,-42.361313,K4III,82729,152334,6271,,Zet2Sco,Sco,3.62,40.568,51.09754091,253.645965,132.3149661
341,7083,,1.524725,15.345823,G8III,7097,9270,437,,99Eta Psc,Psc,3.62,107.1811,356.7795883,22.870875,349.5775885
342,57190,,11.760141,-66.728763,A7III,57363,102249,4520,,Lam Mus,Mus,3.63,38.9864,46.77351413,176.402115,127.1564828
343,101442,,20.625816,14.595087,F5IV,101769,196524,7882,,6Bet Del,Del,3.64,30.931,29.16083799,309.38724,100.8833124
344,20155,,4.329889,15.627642,G8III,20205,27371,1346,,54Gam Tau,Tau,3.65,49.5295,74.06277837,64.948335,161.543436
345,76997,,15.769793,15.421826,A3V,77233,141003,5867,,28Bet Ser,Ser,3.65,47.5511,68.29674408,236.546895,155.0907657
346,88439,,18.11052,-50.091477,B2Ib,88714,165024,6743,,The Ara,Ara,3.65,249.3766,1877.586699,271.6578,813.3567435
347,46600,,9.525453,63.061861,F0IV,46733,81937,3757,NN 3559,23    UMa,UMa,3.65,23.8152,17.12379421,142.881795,77.67470371
348,110614,,22.480531,-0.019972,F3III-IV,110960,213051,8558,,55Zet1Aqr,Aqr,3.65,28.169,23.96624529,337.207965,91.87488364
349,76365,,15.64427,-29.777754,B2.5V,76600,139365,5812,,40Tau Lib,Lib,3.66,112.4859,378.4425847,234.66405,366.879512
350,75466,,15.463818,29.105703,F0p,75695,137909,5747,,3Bet CrB,CrB,3.66,34.2818,35.15604405,231.95727,111.8121476
351,102895,,20.913498,-58.454155,K0III,103227,198700,7986,,Bet Ind,Ind,3.67,187.6173,1043.277881,313.70247,611.925081
352,68537,Thuban,14.073165,64.37585,A0III SB,68756,123299,5291,,11Alp Dra,Dra,3.67,92.9368,256.0943517,211.097475,303.1189494
353,42709,,8.726539,-33.186385,B1.5III,42828,74575,3468,,Alp Pyx,Pyx,3.68,269.5418,2134.027443,130.898085,879.1267532
354,22496,,4.853434,5.605104,B2III SB,22549,30836,1552,,3Pi 4Ori,Ori,3.68,322.5806,3056.32828,72.80151,1052.115982
355,113980,,23.157443,-21.17241,K1III,114341,218594,8812,,88    Aqr,Aqr,3.68,82.9876,202.3019179,347.361645,270.6690367
356,97056,,19.789795,18.534286,M2II + B6,97365,187076,7536,,7Del Sge,Sge,3.68,182.1494,974.5407418,296.846925,594.0911971
357,57226,,11.767515,47.779406,K0III,57399,102224,4518,,63Chi UMa,UMa,3.69,56.3063,92.29963848,176.512725,183.6463758
358,47719,,9.754117,-62.507903,G5Iab/Ib,47854,84810,3884,,,Car,3.69,478.4689,6661.929002,146.311755,1560.555025
359,8989,,1.932564,-51.608896,G5IV,9007,11937,566,Gl 81A,Chi Eri,Eri,3.69,17.8508,9.272567426,28.98846,58.22145525
360,23398,,5.041301,41.075837,K4II comp,23453,32068,1612,,8Zet Aur,Aur,3.69,240.9639,1690.440932,75.619515,785.9182177
361,106642,,21.668181,-16.662308,A7III:mp...,106985,206088,8278,NN 4209,40Gam Cap,Cap,3.69,48.1464,67.48387309,325.022715,157.0323724
362,2914,,0.616188,53.896909,B2IV,2920,3360,153,,17Zet Cas,Cas,3.69,181.8182,962.0552192,9.24282,593.0109684
363,114609,,23.286094,3.282289,G7III,114971,219615,8852,,6Gam Psc,Psc,3.7,42.3012,51.61786055,349.29141,137.9679019
364,87661,,17.962744,29.24788,K0III,87933,163993,6703,,92Xi  Her,Her,3.7,41.9463,50.72242399,269.44116,136.8103742
365,15436,,3.325278,-21.757864,M3/M4III,15474,20720,1003,,16Tau4Eri,Eri,3.7,93.3707,251.420103,49.87917,304.5341403
366,28032,,5.940082,-14.1677,F1V,28103,40136,2085,Gl 225,16Eta Lep,Lep,3.71,14.8787,6.327031549,89.10123,48.52777277
367,97725,Alshain,19.921887,6.406763,G8IVvar,98036,188512,7602,Gl 771A,60Bet Aql,Aql,3.71,13.6986,5.360434578,298.828305,44.67880582
368,22744,,4.904193,2.440672,B2III SB,22797,31237,1567,,8Pi 5Ori,Ori,3.71,411.5226,4839.494493,73.562895,1342.205651
369,88494,,18.122496,9.563847,A4IVs,88771,165777,6771,Wo 9615A,72    Oph,Oph,3.71,26.6312,20.26749152,271.83744,86.85925667
370,38304,,7.870288,-40.575786,G5III...,38414,64440,3080,,,Pup,3.71,108.1081,333.8873767,118.05432,352.6010546
371,77386,,15.846935,4.47773,A2m,77622,141795,5892,NN 3921,37Eps Ser,Ser,3.71,21.5983,13.32907464,237.704025,70.44415135
372,16496,,3.548848,-9.458262,K2V,16537,22049,1084,Gl 144,18Eps Eri,Eri,3.72,3.2161,0.292954383,53.23272,10.48950312
373,103725,,21.082184,43.927852,K5Ibv SB,104060,200905,8079,,62Xi  Cyg,Cyg,3.72,258.3979,1889.731054,316.23276,842.7802547
374,28287,,5.992111,54.284656,K0III,28358,40035,2077,,33Del Aur,Aur,3.72,38.6399,42.26686143,89.881665,126.0263522
375,17457,,3.747927,24.113339,B6III,17499,23302,1142,,17    Tau,Tau,3.72,124.0695,435.7124805,56.218905,404.6601184
376,112601,,22.87691,-7.579599,M2IIIvar,112961,216386,8698,,73Lam Aqr,Aqr,3.73,118.0638,391.2010394,343.15365,385.0721675
377,71994,,14.770812,1.892885,A0V,72220,130109,5511,,109    Vir,Vir,3.73,41.2371,47.68699981,221.56218,134.4972759
378,106746,,21.691253,-77.390046,K0III,107089,205478,8254,Gl 835.1,Nu  Oct,Oct,3.73,21.1999,12.61246575,325.368795,69.14474584
379,16044,,3.45282,9.73268,B9Vn,16083,21364,1038,,2Xi  Tau,Tau,3.73,64.1026,115.2391377,51.7923,209.0744761
380,87314,,17.892134,56.872643,K2III,87585,163588,6688,,32Xi  Dra,Dra,3.73,34.5066,33.419504,268.38201,112.5453463
381,79928,,16.365338,19.15313,A9III,80170,147547,6095,,20Gam Her,Her,3.74,59.0667,97.00631338,245.48007,192.6495861
382,8628,,1.857676,-10.335038,K2III,8645,11353,539,,55Zet Cet,Cet,3.74,72.0461,144.2779623,27.86514,234.9826779
383,104549,,21.246517,38.045317,F1IV,104887,202444,8130,Gl 822.1A,65Tau Cyg,Cyg,3.74,20.3417,11.50270548,318.697755,66.34567505
384,44383,,9.069248,-47.097737,K2III,44511,78004,3614,,,Vel,3.75,91.8274,232.2736796,136.03872,299.5005747
385,86839,,17.798211,2.707276,A0V,87108,161868,6629,,62Gam Oph,Oph,3.75,31.5159,27.36528654,266.973165,102.7909988
386,110822,,22.521515,50.282491,A1V,111169,213558,8585,,7Alp Lac,Lac,3.76,31.4564,27.01469073,337.822725,102.596936
387,95554,,19.495098,51.729779,A5Vn,95853,184006,7420,,10Iot2Cyg,Cyg,3.76,37.2024,37.77461094,292.42647,121.3378597
388,30794,,6.480297,-7.033062,B3Ve,30867,45725,2356,,11Bet Mon,Mon,3.76,207.4689,1174.897555,97.204455,676.6722655
389,26004,,5.560421,-62.489825,F6Ia,26069,37350,1922,,Bet Dor,Dor,3.76,308.642,2598.962421,83.406315,1006.654402
390,27585,,5.855357,-20.879089,G8III/IV,27654,39364,2035,,15Del Lep,Lep,3.76,34.8675,33.17416497,87.830355,113.7224433
391,93388,,19.07805,-21.741496,K0III,93683,177241,7217,Wo 9641,39Omi Sgr,Sgr,3.76,43.554,51.7606832,286.17075,142.0539842
392,41195,,8.428951,-66.13689,K2IIIvar,41312,71878,3347,NN 3499,Bet Vol,Vol,3.77,32.9707,29.40356574,126.434265,107.5359163
393,108830,,22.116847,25.345112,F5V,109176,210027,8430,Gl 848,24Iot Peg,Peg,3.77,11.7261,3.718775833,331.752705,38.24537872
394,13234,,2.844945,55.895496,K3Ib comp SB,13268,17506,834,,15Eta Per,Per,3.77,269.5418,1964.264646,42.674175,879.1267532
395,17487,,3.753232,42.578549,F5IIvar,17529,23230,1135,,41Nu  Per,Per,3.77,170.6485,787.7710196,56.29848,556.5803217
396,105540,,21.444452,-22.411332,G4Ibp...,105881,204075,8204,,34Zet Cap,Cap,3.77,118.2033,377.7461094,321.66678,385.5271551
397,101629,,20.660635,15.912072,B9V,101958,196867,7906,,9Alp Del,Del,3.77,77.821,163.6816521,309.909525,253.8178608
398,26484,,5.645769,-2.600069,O9.5V...,26549,37468,1931,,48Sig Ori,Ori,3.77,328.9474,2926.846862,84.686535,1072.881682
399,82112,,16.82976,-59.041378,K5III,82363,151249,6229,,Eta Ara,Ara,3.77,91.7431,227.6145393,252.4464,299.2256252
400,20405,,4.382247,17.542514,G8III,20455,27697,1373,,61Del1Tau,Tau,3.77,47.7099,61.54602374,65.733705,155.6087014
401,42452,,8.677103,-46.648744,F3Ia,42570,74180,3445,,,Vel,3.77,100000,270395836.4,130.156545,326156
402,53099,,10.891559,-58.853171,K0III-IV...,53253,94510,4257,Gl 404.1,,Car,3.78,29.129,22.74049951,163.373385,95.00598124
403,102287,,20.794598,-9.495776,A1V,102618,198001,7950,,2Eps Aqr,Aqr,3.78,63.6943,108.742672,311.91897,207.7427811
404,71569,,14.68582,13.7283,A3IVn,71795,129246,5477,,30Zet Boo,Boo,3.78,53.8793,77.76783345,220.2873,175.7305697
405,48182,,9.849867,59.038735,F0IV,48319,84999,3888,,29Ups UMa,UMa,3.78,35.6379,34.04081897,147.748005,116.2351491
406,35946,,7.428779,27.79808,G9III+...,36046,58207,2821,,60Iot Gem,Gem,3.78,36.9004,36.47539469,111.431685,120.3528686
407,34389,,7.145788,-70.498932,G8IIIvar,34481,55865,2736,,Gam2Vol,Vol,3.78,42.8633,49.20395357,107.18682,139.8012247
408,14632,,3.158258,44.857544,K0III,14668,19476,941,,27Kap Per,Per,3.79,34.5662,31.71027439,47.37387,112.7397353
409,53075,,10.888526,34.214871,K0III-IV,53229,94264,4247,,46    LMi,LMi,3.79,29.0867,22.44915508,163.32789,94.86801725
410,99356,,20.227196,46.741329,K2II+...,99675,192577,7735,,31    Cyg,Cyg,3.8,271.0027,1931.968317,303.40794,883.8915662
411,94484,,19.28504,53.368459,K0III,94779,181276,7328,,1Kap Cyg,Cyg,3.8,38.0662,38.12413511,289.2756,124.1551953
412,37124,,7.647186,-26.803836,B5IV,37229,61555,2948,,,Pup,3.8,106.2699,297.0297844,114.70779,346.605655
413,76044,,15.580041,10.538867,F0IV,76276,138917,5788,,13Del Ser,Ser,3.8,69.9301,128.5878693,233.700615,228.081217
414,14843,,3.201249,-28.987618,F8V,14879,20010,963,Gl 127A,Alp For,For,3.8,14.2369,5.330893422,48.018735,46.43450356
415,21340,,4.592512,-30.562341,G8III,21393,29291,1464,,52Ups2Eri,Eri,3.81,65.5738,112.0985513,68.88768,213.8728831
416,76716,,15.712381,26.295637,A1Vs,76952,140436,5849,,8Gam CrB,CrB,3.81,44.7828,52.28775553,235.685715,146.0617892
417,51087,,10.464649,-58.739403,F2II,51232,90853,4114,,,Car,3.81,411.5226,4413.671435,156.969735,1342.205651
418,116218,,23.626056,46.458152,G8III-IV,116584,222107,8961,Wo 9832,16Lam And,And,3.81,26.4061,18.18025624,354.39084,86.12507952
419,56044,,11.523407,69.331076,M0IIIvar,56211,100029,4434,,1Lam Dra,Dra,3.82,102.145,269.4014941,172.851105,333.1520462
420,80637,,16.515229,1.983923,A2V,80883,148857,6149,,10Lam Oph,Oph,3.82,53.0786,72.77798045,247.728435,173.1190386
421,86148,,17.657747,46.006332,B3V SB,86414,160762,6588,,85Iot Her,Her,3.82,139.47,502.1113055,264.866205,454.8897732
422,45557,,9.314069,36.802597,A1V,45688,80081,3690,,38    Lyn,Lyn,3.82,38.2702,37.80941867,139.711035,124.8205535
423,9467,,2.034117,2.763759,A2,9487,12446,595,,113Alp Psc,Psc,3.82,46.1681,55.05540985,30.511755,150.5800282
424,68027,,13.971186,-42.100753,B2IV,68245,121743,5248,,Phi Cen,Cen,3.83,161.0306,663.7430704,209.56779,525.2109637
425,72144,,14.797701,-79.044751,K5III,72370,129078,5470,,Alp Aps,Aps,3.83,136.9863,479.9544249,221.965515,446.7890366
426,50924,,10.434842,-16.83629,K4III,51069,90432,4094,,42Mu  Hya,Hya,3.83,71.7875,131.8256739,156.52263,234.1392385
427,88517,,18.125708,28.762488,B9.5V,88794,166014,6779,,103Omi Her,Her,3.84,103.6269,272.1447746,271.88562,337.985352
428,51475,,10.546853,9.306586,B1Ib SB,51624,91316,4133,,47Rho Leo,Leo,3.84,100000,253512863,158.202795,326156
429,89064,,18.229392,-21.058834,B2III:,89341,166937,6812,,13Mu  Sgr,Sgr,3.84,100000,253512863,273.44088,326156
430,51837,,10.621717,-48.22562,A3m+...,51986,92139,4167,,,Vel,3.84,26.8384,18.26417249,159.325755,87.5350519
431,20833,,4.476248,15.962181,G7III,20885,28307,1411,,77The1Tau,Tau,3.84,47.3261,56.80675741,67.14372,154.3569147
432,43659,,8.917457,-60.644609,B8III,43783,76728,3571,,,Car,3.84,98.0392,243.6688423,133.761855,319.7607332
433,17398,,3.736593,-64.806903,K0IV SB,17440,23817,1175,Gl 154.2,Bet Ret,Ret,3.84,29.8597,22.5943577,56.048895,97.38920313
434,61008,,12.541134,-72.132988,B5V,61199,109026,4773,,Gam Mus,Mus,3.84,99.6016,251.420103,188.11701,324.8565945
435,17406,,3.738648,32.288248,B1III,17448,23180,1131,,38Omi Per,Per,3.84,343.6426,2995.021884,56.07972,1120.810958
436,97124,,19.80285,70.26793,G8III,97433,188119,7582,,63Eps Dra,Dra,3.84,45.3721,52.19152658,297.04275,147.9838265
437,30204,,6.368564,-33.4364,G7II,30277,44762,2296,,Del Col,Col,3.85,71.736,129.3004392,95.52846,233.9712682
438,27253,,5.788079,-51.066514,A3V,27321,39060,2020,Gl 219,Bet Pic,Pic,3.85,19.4401,9.488553267,86.821185,63.40505256
439,89860,,18.394967,21.769752,K2III,90139,169414,6895,,109    Her,Her,3.85,36.4697,33.419504,275.924505,118.9481147
440,19697,,4.233363,-42.294368,K1III,19747,26967,1326,,Alp Hor,Hor,3.85,35.2609,31.21763511,63.500445,115.005541
441,50050,,10.245607,-42.121942,A2V,50191,88955,4023,,,Vel,3.85,31.0752,24.25492857,153.684105,101.3536293
442,77836,,15.940882,15.661617,F6V,78072,142860,5933,Gl 603,41Gam Ser,Ser,3.85,11.2537,3.179801428,239.11323,36.70461777
443,61088,,12.558058,69.788238,B6IIIp,61281,109387,4787,,5Kap Dra,Dra,3.85,150.3759,568.0675741,188.37087,490.4600204
444,90835,,18.586785,-8.244073,K2III,91117,171443,6973,,Alp Sct,Sct,3.85,61.0501,93.58365436,278.801775,199.1185642
445,61429,,12.628394,-48.541304,A2V,61622,109787,4802,,Tau Cen,Cen,3.85,40.2414,40.66305463,189.42591,131.2497406
446,21541,,4.63634,-14.30402,K1III,21594,29503,1481,Wo 9160A,53    Eri,Eri,3.86,33.6814,28.23579369,69.5451,109.853907
447,80819,,16.557609,-78.897148,K0IV SB,81065,147675,6102,Gl 626.1,Gam Aps,Aps,3.86,47.9157,57.12155216,248.364135,156.2799305
448,4426,,0.945885,38.499345,A5V,4436,5448,269,,37Mu  And,And,3.86,39.7772,39.37313537,14.188275,129.7357244
449,87537,,17.93755,37.250539,K1IIvar,87808,163770,6695,,91The Her,Her,3.86,230.9469,1328.005886,269.06325,753.2471712
450,25794,,5.520209,-35.470519,K1II/III,25859,36597,1862,,Eps Col,Col,3.86,80.7103,162.1810097,82.803135,263.2414861
451,110049,,22.360938,-1.387331,A0V,110395,212061,8518,Wo 9779,48Gam Aqr,Aqr,3.86,50.2008,62.7480162,335.41407,163.7329212
452,79423,,16.257297,-63.685682,G5II,79664,145544,6030,,Del TrA,TrA,3.86,186.2197,862.9785478,243.859455,607.3667247
453,97493,,19.874547,1.005661,F6Ibv SB,97804,187929,7570,,55Eta Aql,Aql,3.87,423.7288,4425.883724,298.118205,1382.016905
454,42904,,8.767124,-46.041527,A1III,43023,75063,3487,,,Vel,3.87,568.1818,7957.927899,131.50686,1853.159032
455,77868,,15.948077,-29.214073,B2IV/V,78104,142669,5928,,5Rho Sco,Sco,3.87,144.7178,516.6542426,239.221155,472.0057878
456,68064,,13.977987,-44.803584,B2IV-V,68282,121790,5249,,Ups1Cen,Cen,3.87,131.0616,423.4479162,209.669805,427.4652721
457,17532,,3.763779,24.367748,B8III,17573,23408,1149,,20    Tau,Tau,3.87,117.5088,340.4081897,56.456685,383.2620017
458,71731,,14.717673,-5.658207,F2III,71957,129502,5487,Wo 9491,107Mu  Vir,Vir,3.87,18.2715,8.233794052,220.765095,59.59359354
459,74148,,15.198918,-48.737819,B9V,74376,134481,5646,,Kap1Lup,Lup,3.88,55.1876,74.40463662,227.98377,179.9976687
460,48318,,9.879398,26.006951,K0III,48455,85503,3905,,24Mu  Leo,Leo,3.88,38.0518,35.38343568,148.19097,124.1082288
461,763,,0.156836,-45.747426,K0III,765,496,25,Gl 9.1,Eps Phe,Phe,3.88,44.2087,47.77492347,2.35254,144.1893276
462,8813,,1.89217,19.293852,A1p Si,8832,11502,546,,5Gam2Ari,Ari,3.88,50.3018,61.83010728,28.38255,164.0623388
463,114059,,23.17264,-45.246711,K0III SB,114421,218670,8820,,Iot Gru,Gru,3.88,56.1798,77.1258565,347.5896,183.2337885
464,59945,,12.331766,-0.666803,A2IV,60129,107259,4689,,15Eta Vir,Vir,3.89,81.367,160.2507239,184.97649,265.3833525
465,33065,,6.902209,-24.184211,K3Iab,33152,50877,2580,,16Omi1CMa,CMa,3.89,100000,242102904.7,103.533135,326156
466,45204,,9.239405,2.31428,B9.5V,45336,79469,3665,,22The Hya,Hya,3.89,34.7947,29.32243282,138.591075,113.4850017
467,97799,,19.938438,35.083424,K0IIIvar,98110,188947,7615,,21Eta Cyg,Cyg,3.89,41.3736,41.45720318,299.07657,134.9424788
468,13667,,2.940458,-8.898144,K1III-IV,13701,18322,874,,3Eta Eri,Eri,3.89,41.8585,42.42286549,44.10687,136.5240093
469,65729,,13.517405,-39.407307,G8II/III,65936,117440,5089,,,Cen,3.9,277.7778,1850.120435,202.761075,905.9889614
470,47297,,9.664267,-1.14281,K3IIIvar,47431,83618,3845,,35Iot Hya,Hya,3.9,80.7103,156.3147643,144.964005,263.2414861
471,55260,,11.350117,-54.491019,B5Vn,55425,98718,4390,,Pi  Cen,Cen,3.9,109.6491,288.4031503,170.251755,357.6271186
472,79750,,16.329011,46.313366,B5IV,79992,147394,6092,,22Tau Her,Her,3.91,94.2507,211.0571163,244.935165,307.4043131
473,41190,,8.427676,-3.906424,A0V,41307,71155,3314,,,Hya,3.91,37.5094,33.45029868,126.41514,122.3391587
474,60635,,12.467331,-50.230635,B3V,60823,108483,4743,,Sig Cen,Cen,3.91,126.2626,378.7913038,187.009965,411.8130457
475,76100,,15.592105,-14.789537,K0III,76333,138905,5787,NN 3912,38Gam Lib,Lib,3.91,50.025,59.48397741,233.881575,163.159539
476,18860,,4.052606,5.989305,A1V,18907,25490,1251,,38Nu  Tau,Tau,3.91,35.8551,30.5632828,60.78909,116.94356
477,73579,,15.085303,-47.051245,B5,73807,133242,5605,,Pi  Lup,Lup,3.91,135.8696,438.9347855,226.279545,443.1468526
478,94873,,19.361211,-17.847197,F0III/IV,95168,181577,7340,NN 4107,44Rho1Sgr,Sgr,3.92,38.9257,35.67795883,290.418165,126.9585061
479,104649,,21.263731,5.247845,G0III+...,104987,202447,8131,,8Alp Equ,Equ,3.92,58.3431,80.16780634,318.955965,190.2895212
480,82952,,17.004827,30.926405,A0V,83207,153808,6324,,58Eps Her,Her,3.92,47.5285,53.21082593,255.072405,155.0170545
481,13497,,2.904295,52.762479,G4III...,13531,17878,854,,18Tau Per,Per,3.93,77.9423,141.7751123,43.564425,254.213488
482,21391,,4.605317,-3.352459,B2III SB,21444,29248,1463,,48Nu  Eri,Eri,3.93,207.0393,1000,69.079755,675.2710993
483,78693,,16.113452,-20.669192,B1V,78933,144470,5993,,9Ome1Sco,Sco,3.93,144.5087,487.0796665,241.70178,471.3237956
484,54304,,11.143165,-58.975037,G0Ia0,54463,96918,4337,,,Car,3.93,100000,233345806.2,167.147475,326156
485,87920,,18.010754,2.931568,B5Ib,88192,164353,6714,,67    Oph,Oph,3.93,377.3585,3323.533036,270.16131,1230.777389
486,2069,,0.436716,-43.679829,A7V,2072,2262,100,Gl 20,Kap Phe,Phe,3.93,23.8095,13.23122333,6.55074,77.65611282
487,37397,,7.697004,-72.606098,K0III,37504,63295,3024,,Zet Vol,Vol,3.93,43.2339,43.61139714,115.45506,141.0099589
488,7068,,1.520851,-49.072702,K0III-IV,7083,9362,440,,Del Phe,Phe,3.93,43.573,44.29961991,22.812765,142.1159539
489,5337,,1.139742,-55.24576,B6V + B0V,5348,6882,338,,Zet Phe,Phe,3.94,91.5751,193.9099079,17.09613,298.6776832
490,103081,,20.952893,41.167136,A1Vn,103413,199629,8028,,58Nu  Cyg,Cyg,3.94,114.8106,304.789499,314.293395,374.4616605
491,37340,,7.687454,-9.551131,K0III,37447,61935,2970,,26Alp Mon,Mon,3.94,45.3104,47.46789795,115.31181,147.7825882
492,37570,,7.73013,-28.954826,A2Iab,37677,62623,2996,,3    Pup,Pup,3.94,100000,231206479,115.95195,326156
493,42792,,8.74475,18.154309,K0III,42911,74442,3461,,47Del Cnc,Cnc,3.94,40.032,37.05100563,131.17125,130.5667699
494,118887,,13.398996,54.920471,A1 m,,116657,5055,NN 3784B,79Zet UMa,UMa,3.95,24.1546,13.36595517,200.98494,78.78167718
495,31512,,6.611399,-19.255879,K1III+...,31592,47205,2429,Gl 239.1,7Nu 2CMa,CMa,3.95,19.7511,8.937169609,99.170985,64.41939772
496,9577,,2.057268,72.421294,A2V,9598,12216,580,,50    Cas,Cas,3.95,48.1696,53.16183951,30.85902,157.1080406
497,19296,,4.144357,47.712513,B3Ve,19343,25940,1273,,48    Per,Per,3.96,146.1988,485.2885002,62.165355,476.8361581
498,28256,,5.985778,-42.815135,K0III,28328,40808,2120,,Eta Col,Col,3.96,144.7178,475.5541763,89.78667,472.0057878
499,44972,,9.187985,-62.316977,B3IV,45101,79447,3663,,,Car,3.96,166.3894,628.6370884,137.819775,542.6890115
